Political affiliation/Appartenance politique,0-9.9,10-19.9,20-29.9,30-39.9,40 or more/40 et plus,Total
"Animal Alliance Environment Voters Party of Canada/Animal Alliance Environment Voters Party of Canada",4,0,0,0,0,4
"Bloc Québécois/Bloc Québécois",4,5,12,16,38,75
"Canadian Action Party/Parti action canadienne",20,0,0,0,0,20
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",59,0,0,0,0,59
"Communist Party of Canada/Parti communiste du Canada",24,0,0,0,0,24
"Conservative Party of Canada/Parti conservateur du Canada",7,54,49,63,134,307
"First Peoples National Party of Canada/First Peoples National Party of Canada",6,0,0,0,0,6
"Green Party of Canada/Le Parti Vert du Canada",262,38,2,1,0,303
"Liberal Party of Canada/Parti libéral du Canada",36,88,68,46,69,307
"Libertarian Party of Canada/Parti Libertarien du Canada",26,0,0,0,0,26
"Marijuana Party/Parti Marijuana",8,0,0,0,0,8
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",59,0,0,0,0,59
"New Democratic Party/Nouveau Parti démocratique",65,161,28,21,33,308
"Newfoundland and Labrador First Party/Newfoundland and Labrador First Party",3,0,0,0,0,3
"People's Political Power Party of Canada/Pouvoir Politique du Peuple du Canada",2,0,0,0,0,2
"Progressive Canadian Party/Parti Progressiste Canadien",10,0,0,0,0,10
"Western Block Party/Western Block Party",1,0,0,0,0,1
"Work Less Party/Work Less Party",1,0,0,0,0,1
"neorhino.ca/neorhino.ca",7,0,0,0,0,7
"Independent/Indépendant",63,1,0,2,1,67
"No Affiliation/Aucune appartenance",3,1,0,0,0,4

