RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
"John S. Loch","Semi-retired/Semi-retraité","Halifax West/Halifax-Ouest","12006","Nova Scotia/Nouvelle-Écosse","Bedford"
"Jake Rideout","Self-employed/Travailleur autonome","Kings--Hants","12007","Nova Scotia/Nouvelle-Écosse","Kentville"
"Glenn MacDougall","Business Owner/Propriétaire d'entreprise","Sackville--Preston--Chezzetcook","12008","Nova Scotia/Nouvelle-Écosse","Lower Sackville"
"Douglas J. Rideout","Retired/Retraité","South Shore--St. Margarets","12009","Nova Scotia/Nouvelle-Écosse","Upper Tantallon"
"Peter Bernard Mombourquette","Retired - Teacher - Administrator/Retraité","Sydney--Victoria","12010","Nova Scotia/Nouvelle-Écosse","Sydney"
"Rose-Aline Gawn","Bookkeeper/Comptable","West Nova/Nova-Ouest","12011","Nova Scotia/Nouvelle-Écosse","Meteghan"
"Réjean Arseneault","Retired/Retraité","Acadie--Bathurst","13001","New Brunswick/Nouveau-Brunswick","Saint-Isidore"
"Ola Drisdelle","Retired/Retraité","Beauséjour","13002","New Brunswick/Nouveau-Brunswick","Haute-Aboujagane"
"C. David Desjardins","Executive Director/Directeur général","Fredericton","13003","New Brunswick/Nouveau-Brunswick","New Maryland"
"Joanne Marie Nice","Retired/Retraitée","Fundy Royal","13004","New Brunswick/Nouveau-Brunswick","Quispamsis"
"Guy Ouellette","Retired/Retraité","Madawaska--Restigouche","13005","New Brunswick/Nouveau-Brunswick","Saint-François de Madawaska"
"Norman W. Brown","Semi-retired Bus Driver/Chauffeur d'autobus semi-retraité","Miramichi--Grand Lake","13006","New Brunswick/Nouveau-Brunswick","Miramichi"
"Donna Gauthier","Representative/Représentante","Moncton--Riverview--Dieppe","13007","New Brunswick/Nouveau-Brunswick","Riverview"
"W. Robert Brown","Retired/Retraité","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","13008","New Brunswick/Nouveau-Brunswick","St. Stephen"
"Terry Totten","Retired Accountant/Comptable Retraité","Saint John--Rothesay","13009","New Brunswick/Nouveau-Brunswick","Saint John"
"Anne Turcotte","Retired/Retraitée","Tobique--Mactaquac","13010","New Brunswick/Nouveau-Brunswick","Grand Falls"
"Madeleine Robillard","Boarding Attendant (Aircraft) for Northern Workers/Préposé au comptoir d'embarquement (Avions) pour les travailleurs nordiques","Abitibi--Baie-James--Nunavik--Eeyou","24001","Quebec/Québec","Val-d'Or"
"Daniel Arsenault","CEO of Radaar Creative Technologies Inc/PDG de Radaar technologies créatives Inc","Abitibi--Témiscamingue","24002","Quebec/Québec","Rouyn-Noranda"
"Jean-Guy Théorêt","Retired/Retraité","Ahuntsic-Cartierville","24003","Quebec/Québec","Montréal"
"Paul Breton","Manager and Consultant in Communication/Gestionnaire et conseiller en communication","Alfred-Pellan","24004","Quebec/Québec","Laval"
"Pierre Brunet","Retired/Retraité","Argenteuil--La Petite-Nation","24005","Quebec/Québec","Lachute"
"Bertrand Bernier","Retired/Retraité","Avignon--La Mitis--Matane--Matapédia","24006","Quebec/Québec","Matane"
"Lise Lefebvre","Retired/Retraitée","Beauce","24007","Quebec/Québec","Sainte-Marie"
"François Savard","Retired/Retraité","Beauport--Limoilou","24008","Quebec/Québec","Québec"
"Marcel Vézina","Retired/Retraité","Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix","24020","Quebec/Québec","Château-Richer"
"Michel Longval","Insurance Broker/Courtier en assurance","Bécancour--Nicolet--Saurel","24009","Quebec/Québec","Bécancour"
"Richard Poulin","Retired/Retraité","Bellechasse--Les Etchemins--Lévis","24010","Quebec/Québec","Lac-Etchemin"
"Claude D. Fagnant","Director/Directeur","Beloeil--Chambly","24011","Quebec/Québec","Mont-Saint-Hilaire"
"Jean Provencher","Retired Engineer/Ingénieur Retraité","Berthier--Maskinongé","24012","Quebec/Québec","Saint-Boniface"
"Danielle Jomphe","Trainer/Formatrice","Bourassa","24015","Quebec/Québec","Montréal"
"Marie-Josée Potvin","Farmer/Agricultrice","Brome--Missisquoi","24016","Quebec/Québec","Dunham"
"Gilles Ferlatte","Semi-Retired/Semi-Retraité","Brossard--Saint-Lambert","24017","Quebec/Québec","Saint-Lambert"
"Mark Edouard Poirier","Retired/Retraité","Charlesbourg--Haute-Saint-Charles","24019","Quebec/Québec","Québec"
"François Candau","Supervisor, Public Works/Superviseur, Travaux publics","Châteauguay--Lacolle","24021","Quebec/Québec","Sainte-Martine"
"Claude Gaudreault","Lawyer/Avocat","Chicoutimi--Le Fjord","24022","Quebec/Québec","Chicoutimi"
"Marco Desmarais","Manager/Gestionnaire","Compton--Stanstead","24023","Quebec/Québec","Sherbrooke"
"Jean-Claude Ménard","Annuitant/Rentier","Dorval--Lachine--LaSalle","24024","Quebec/Québec","Lachine"
"Andrée Desautels","Administrative Assistant/Adjointe administrative","Drummond","24025","Quebec/Québec","Drummondville"
"Rachel Arseneau","Coordinator/Coordonnatrice","Gaspésie--Les Îles-de-la-Madeleine","24026","Quebec/Québec","Gaspé"
"Josée Dubois","Accountant/Comptable","Gatineau","24027","Quebec/Québec","Gatineau"
"Carole Beausoleil","Retired/Retraitée","Hochelaga","24028","Quebec/Québec","Montréal"
"Marguerite Sicari","Office Clerk/Commis de bureau","Honoré-Mercier","24029","Quebec/Québec","Montréal"
"Michelle Waters","Self-employed/Travailleuse autonome","Hull--Aylmer","24030","Quebec/Québec","Gatineau"
"Robert Beauséjour","Retired School Principal/Directeur d'école retraité","Joliette","24031","Quebec/Québec","Saint-Charles-Borromée"
"Marc Pomerleau","Consultant","Jonquière","24032","Quebec/Québec","Jonquière"
"Bernard Lauzon","Retired/Retraité","La Pointe-de-l'Île","24033","Quebec/Québec","Montréal"
"Claude Jolin","Manager/Gestionnaire","La Prairie","24034","Quebec/Québec","La Prairie"
"Donald Hudon","General Director/Directeur général","Lac-Saint-Jean","24035","Quebec/Québec","Lac-à-la-Croix"
"Robert Lister","Manager/Gestionnaire","Lac-Saint-Louis","24036","Quebec/Québec","Baie-D'Urfé"
"Sylvie Gagnon","Self-employed/Travailleure autonome","LaSalle--Émard--Verdun","24037","Quebec/Québec","Montréal"
"Claude Villeneuve","Retired/Retraité","Laurentides--Labelle","24038","Quebec/Québec","Saint-Jérôme"
"Paul Haince","Retired/Retraité","Laurier--Sainte-Marie","24039","Quebec/Québec","Montréal"
"Jean-Paul Vernier","SAAQ Evaluator/Évaluateur pour la SAAQ","Laval--Les Îles","24040","Quebec/Québec","Laval"
"Jean-Louis Leblond","Retired Economist/Économiste retraité","Lévis--Lotbinière","24042","Quebec/Québec","Lévis"
"James Shufelt","Management - Consultant/Gestion - Consultant","Longueuil--Charles-LeMoyne","24041","Quebec/Québec","Longueuil"
"Anne-Denise Thomas","Contractor/Entrepreneure","Longueuil--Saint-Hubert","24043","Quebec/Québec","Longueuil"
"Richard Lavigne","Retired/Retraité","Louis-Hébert","24044","Quebec/Québec","Québec"
"Hélène Dion","Retired/Retraitée","Louis-Saint-Laurent","24045","Quebec/Québec","Québec"
"Benoit Monger","Retired/Retraité","Manicouagan","24046","Quebec/Québec","Sept-Îles"
"Jacques Foucher","Lawyer/Avocat","Marc-Aurèle-Fortin","24065","Quebec/Québec","Laval"
"Hélène Chagnon","Retired/Retraitée","Mégantic--L'Érable","24047","Quebec/Québec","Lambton"
"Robert Langlais","Voluntary work/Bénévolat","Mirabel","24048","Quebec/Québec","Saint-Colomban"
"Fernand B. Couture","Retired/Retraité","Montarville","24049","Quebec/Québec","Saint-Bruno-de-Montarville"
"Pierre Simard","Retired Officer of the Surete du QC - Associate in an investigation company in private/Officier Retraité de la Sureté du QC - Associe dans une entreprise d'investigation au privé","Montcalm","24050","Quebec/Québec","Mascouche"
"Pierrette Couillard","Notary/Notaire","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","24051","Quebec/Québec","Cacouna"
"Radu Kaufman","Consultant","Mount Royal/Mont-Royal","24052","Quebec/Québec","Montréal"
"Claude Landry","Consultant","Notre-Dame-de-Grâce--Westmount","24053","Quebec/Québec","Westmount"
"Pierre Francou","Retired/Retraité","Outremont","24054","Quebec/Québec","Outremont"
"Normand Lake","Self-employed/Travailleur autonome","Papineau","24055","Quebec/Québec","Montréal"
"Pauline Lemieux-Turcotte","General director Centre Multifonctionnel Francine-Gadbois/Directrice générale Centre Multifonctionnel Francine-Gadbois","Pierre-Boucher--Les Patriotes--Verchères","24014","Quebec/Québec","Boucherville"
"Madanlal (Tony) Vanvari","Engineer/Ingénieur","Pierrefonds--Dollard","24056","Quebec/Québec","Pierrefonds"
"Pierre Fréchette","Retired/Retraité","Pontiac","24057","Quebec/Québec","Île du Grand-Calumet"
"Marilyn Guay","Manager/Gestionnaire","Portneuf--Jacques-Cartier","24058","Quebec/Québec","Saint-Augustin-de-Desmaures"
"Catherine Anne Devlin","Retired - Manager and Advisor/Retraitée - Conseillère et gestionnaire","Québec","24059","Quebec/Québec","Québec"
"Marjolaine Léonard","Retired/Retraitée","Repentigny","24060","Quebec/Québec","Repentigny"
"Jacques Alie","Retired/Retraité","Richmond--Arthabaska","24061","Quebec/Québec","Asbestos"
"Bertin Barrette","Retired/Retraité","Rimouski-Neigette--Témiscouata--Les Basques","24018","Quebec/Québec","Rimouski"
"Lucien Vallée","Retired/Retraité","Rivière-des-Mille-Îles","24062","Quebec/Québec","Saint-Eustache"
"Sylvie Moisan","Consultant/Consultante","Rivière-du-Nord","24063","Quebec/Québec","Saint-Jérôme"
"Michelle Perrault","Self-employed/Travailleuse autonome","Rosemont--La Petite-Patrie","24064","Quebec/Québec","Montréal"
"Suzie Guilmain","Lawyer/Avocate","Saint-Hyacinthe--Bagot","24066","Quebec/Québec","Saint-Pie"
"Louis Richer","Retired/Retraité","Saint-Jean","24067","Quebec/Québec","Saint-Jean-sur-Richelieu"
"Pierre Croubalian","Retired/Retraité","Saint-Laurent","24068","Quebec/Québec","Montréal"
"Antonio Iadeluca","Manager/Gestionnaire","Saint-Léonard--Saint-Michel","24069","Quebec/Québec","Saint-Léonard"
"Gilles Leboeuf","Retired/Retraité","Saint-Maurice--Champlain","24070","Quebec/Québec","Shawinigan"
"Claude Leduc","Financial Security Advisor/Conseiller en sécurité financière","Salaberry--Suroît","24071","Quebec/Québec","Valleyfield"
"Yvon Lessard","Retired/Retraité","Shefford","24072","Quebec/Québec","Granby"
"Isabelle Sauvé","Lawyer/Avocate","Sherbrooke","24073","Quebec/Québec","Sherbrooke"
"Claude Martel","Geographer-Historian/Géographe-historien","Terrebonne","24075","Quebec/Québec","Lachenaie"
"Claire Lessard","Retired/Retraitée","Thérèse-De Blainville","24013","Quebec/Québec","Sainte-Thérèse"
"Robert Ricard","Retired/Retraité","Trois-Rivières","24076","Quebec/Québec","Trois-Rivières"
"Nicole Lauzon","Retired/Retraitée","Vaudreuil--Soulanges","24074","Quebec/Québec","Vaudreuil-Dorion"
"Anne Marie Purcell","Director of procurement/Directrice des achats","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","24077","Quebec/Québec","Montréal"
"André Brunelle","Retired/Retraité","Vimy","24078","Quebec/Québec","Laval"
"Robert Winston Cumberbatch","Software Trainer/Formateur en informatique","Ajax","35001","Ontario","Ajax"
"Lila Carmen Cyr","Retired/Retraitée","Algoma--Manitoulin--Kapuskasing","35002","Ontario","Blind River"
"Colin Pettit","Engineer/Ingénieur","Aurora--Oak Ridges--Richmond Hill","35003","Ontario","Richmond Hill"
"Dennis Chronopoulos","Lawyer/Avocat","Barrie--Innisfil","35004","Ontario","Barrie"
"Maura I. Bolger","Retired/Retraitée","Barrie--Springwater--Oro-Medonte","35005","Ontario","Barrie"
"Larry Zadow","Retired/Retraité","Bay of Quinte/Baie de Quinte","35006","Ontario","Belleville"
"Jeff Paulin","Management/Gestion","Beaches--East York","35007","Ontario","Toronto"
"Janice A. Barber","Homemaker/Personne au foyer","Brampton Centre/Brampton-Centre","35008","Ontario","Brampton"
"Bridge Ramdewar","Prevention Services/Services de prévention","Brampton East/Brampton-Est","35009","Ontario","Brampton"
"Paul Thomas McMorrow","Retired Educator/Éducateur retraité","Brampton North/Brampton-Nord","35010","Ontario","Brampton"
"John R. Holman","Self-employed/Travailleur autonome","Brampton South/Brampton-Sud","35011","Ontario","Brampton"
"Shashikant Nayak","Director/Directeur","Brampton West/Brampton-Ouest","35012","Ontario","Brampton"
"Betteanne Marie Cadman","Retired Clerk and Administrator/Administratrice et commis retraitée","Brantford--Brant","35013","Ontario","Burford"
"Bonnie Stevenson","Accountant/Comptable","Bruce--Grey--Owen Sound","35014","Ontario","Holstein"
"Patricia Jane Barr","Retired/Retraitée","Burlington","35015","Ontario","Burlington"
"Mary O'Connor","Correctional Officer/Agente correctionnelle","Cambridge","35016","Ontario","Cambridge"
"Jennifer A. Cook","Real Estate Agent/Agente immobiliere","Carleton","35088","Ontario","Richmond"
"George Guy Taylor","Retired/Retraité","Chatham-Kent--Leamington","35017","Ontario","Chatham"
"Marko P. Banjavcic","Election Administrator/Administrateur électoral","Davenport","35018","Ontario","Toronto"
"Brent Robert MacLean","Provincial Government - Clerk/Gouvernement provincial - Commis","Don Valley East/Don Valley-Est","35019","Ontario","Toronto"
"Mark Wong","Retired/Retraité","Don Valley North/Don Valley-Nord","35020","Ontario","Toronto"
"Nasir Addetia","Self-employed/Travailleur autonome","Don Valley West/Don Valley-Ouest","35021","Ontario","Toronto"
"A. Craig Reynolds","Engineer/Ingénieur","Dufferin--Caledon","35022","Ontario","Bolton"
"Ralph E. F. Werry","Self-employed/Travailleur autonome","Durham","35023","Ontario","Enniskillen"
"Laura Vivian Dallal","Self-employed/Travailleure autonome","Eglinton--Lawrence","35024","Ontario","Toronto"
"Carrie Woolley","Homemaker/Personne au foyer","Elgin--Middlesex--London","35025","Ontario","St. Thomas"
"Heather Patricia Kennedy","Bookkeeper/Comptable","Essex","35026","Ontario","Essex"
"André Allen","IT Director/Directeur de l'informatique","Etobicoke Centre/Etobicoke-Centre","35027","Ontario","Etobicoke"
"Carole A. Murphy","Real Estate Sales/Ventes immobilières","Etobicoke North/Etobicoke-Nord","35029","Ontario","Toronto"
"Martin John Riley","Retired/Retraité","Etobicoke--Lakeshore","35028","Ontario","Etobicoke"
"Al Croxall","Retired/Retraité","Flamborough--Glanbrook","35030","Ontario","Jerseyville"
"Pierre Chartrand","Retired/Retraité","Glengarry--Prescott--Russell","35031","Ontario","Casselman"
"Susan G. Dickert","Retired/Retraitée","Guelph","35032","Ontario","Guelph"
"Robert Foster","Retired/Retraité","Haldimand--Norfolk","35033","Ontario","Simcoe"
"Jerry J. Ford","Retired/Retraité","Haliburton--Kawartha Lakes--Brock","35034","Ontario","Lindsay"
"Ryan Thomas Scally Leverton","Administrative Assistant/Adjoint administratif","Hamilton Centre/Hamilton-Centre","35035","Ontario","Hamilton"
"Ruth Anne Martin","AR/AP Clerk/Commis aux comptes créditeurs/débiteurs","Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek","35036","Ontario","Stoney Creek"
"James Nelson","Retired/Retraité","Hamilton Mountain","35037","Ontario","Hamilton"
"Tina Destro","Art Educator/Educatrice d'Art","Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas","35038","Ontario","Hamilton"
"Caroline Mabel McMillan","Life and Health Insurance Broker and Agent/Agente et courtière en assurance-vie et en assurance-santé","Hastings--Lennox and Addington","35039","Ontario","Napanee"
"Elaine Ewers-Baptiste","Consultant/Consultante","Humber River--Black Creek","35121","Ontario","Toronto"
"Donna Lynne Godkin","Secondary Teacher/Enseignant secondaire","Huron--Bruce","35040","Ontario","Kirkton"
"Keith H. Anatol","Retired Accountant/Comptable retraité","Kanata--Carleton","35041","Ontario","Kanata"
"Paul Stanley Duggan","Retired Teacher/Enseignant retraité","Kenora","35042","Ontario","Kenora"
"Anna Di Ruscio","Special Event Coordinator/Coordonnatrice d'évènement spéciaux","King--Vaughan","35043","Ontario","Vaughan"
"Susan Brenda Long-Poucher","Naval Officer/Officiere de marine","Kingston and the Islands/Kingston et les Îles","35044","Ontario","Kingston"
"Patricia Gale LePage","Retired/Retraitée","Kitchener Centre/Kitchener-Centre","35045","Ontario","Kitchener"
"Grace Loney","Chartered Accountant/Comptable Agréé","Kitchener South--Hespeler/Kitchener-Sud--Hespeler","35047","Ontario","Cambridge"
"Kenneth Laverne Quanz","Retired Teacher/Enseignant retraité","Kitchener--Conestoga","35046","Ontario","Baden"
"Liisa Buren","Office Manager/Gestionnaire de bureau","Lambton--Kent--Middlesex","35048","Ontario","Komoka"
"Cheryl Annie Lillian Bird","Retired/Retraitée","Lanark--Frontenac--Kingston","35049","Ontario","Perth Road"
"Cheryl Oleniuk","Retired/Retraitée","Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes","35050","Ontario","Brockville"
"Paul Edward Joudrey","Retired/Retraité","London North Centre/London-Centre-Nord","35052","Ontario","London"
"Karen Elaine Mazereeuw","Homemaker/Personne au foyer","London West/London-Ouest","35053","Ontario","London"
"Brenda Telfer","Self-employed/Travailleuse autonome","London--Fanshawe","35051","Ontario","London"
"Barry Wilson","Retired/Retraité","Markham--Stouffville","35054","Ontario","Markham"
"Darlene Macartney","Semi-retired consultant/Consultante semi-Retraitée","Markham--Thornhill","35055","Ontario","Thornhill"
"Janet Maureen Koidis","Retired Principal/Directrice retraitée","Markham--Unionville","35056","Ontario","Unionville"
"Carol Beth Dougherty","Employee Benefits Consultant/Consultante en avantages sociaux","Milton","35057","Ontario","Milton"
"John Stuart Heenan","Professional Engineer/Ingénieur professionnel","Mississauga Centre/Mississauga-Centre","35058","Ontario","Mississauga"
"David George","Retired President, CEO/Président retraité PDG","Mississauga East--Cooksville/Mississauga-Est--Cooksville","35059","Ontario","Mississauga"
"Jameel Rahman","Retired/Retraité","Mississauga--Erin Mills","35060","Ontario","Mississauga"
"Fran Doda","Accountant/Comptable","Mississauga--Lakeshore","35061","Ontario","Mississauga"
"Vijay Kumar Ramadorai","Consultant","Mississauga--Malton","35062","Ontario","Mississauga"
"Arafat Arafat","Dental Technologist Denturist/Technologue dentaire et denturologiste","Mississauga--Streetsville","35063","Ontario","Mississauga"
"Patricia Judith DiMillo","Retired/Retraitée","Nepean","35064","Ontario","Nepean"
"Teena Bogner","Lecturer/Professeure Chargée de cours","Newmarket--Aurora","35065","Ontario","Newmarket"
"Robert (Bob) Michael Diakow","Retired/Retraité","Niagara Centre/Niagara-Centre","35066","Ontario","St. Catharines"
"Kathleen J. Quiquero","Self-employed/Travailleuse autonome","Niagara Falls","35067","Ontario","Niagara Falls"
"Robert Ciarlo","Retired/Retraité","Niagara West/Niagara-Ouest","35068","Ontario","Grimsby"
"Pauline Renaud","Homemaker/Personne au foyer","Nickel Belt","35069","Ontario","Chelmsford"
"James Thomas Mallory","Retired/Retraité","Nipissing--Timiskaming","35070","Ontario","North Bay"
"Ann Lilian MacDonald","Semi-retired - Management/Semi-retraitée, Gestion","Northumberland--Peterborough South/Northumberland--Peterborough-Sud","35071","Ontario","Cobourg"
"Richard Landau","TV Producer/Producteur de télévision","Oakville","35072","Ontario","Oakville"
"Diane Lindsey","Event Planner/Planificatrice d'événements","Oakville North--Burlington/Oakville-Nord--Burlington","35073","Ontario","Burlington"
"Sylvie Duford","Orthotherapist/Orthothérapeute","Orléans","35076","Ontario","Orléans"
"Kenneth Charles Houston","Self-employed/Travail autonome","Oshawa","35074","Ontario","Oshawa"
"Gail Ann Lynch","Realtor/Agente immobilière","Ottawa Centre/Ottawa-Centre","35075","Ontario","Ottawa"
"Eileen Patricia Raven","Retired Teacher/Enseignante retraitée","Ottawa South/Ottawa-Sud","35077","Ontario","Ottawa"
"Arnold Finkelstein","Retired/Retraité","Ottawa West--Nepean/Ottawa-Ouest--Nepean","35079","Ontario","Ottawa"
"Rachel L. Crête","Retired/Retraitée","Ottawa--Vanier","35078","Ontario","Ottawa"
"Audrey E. Schultz","Retired/Retraitée","Oxford","35080","Ontario","Princeton"
"Marika Huska","Consultant/Consultante","Parkdale--High Park","35081","Ontario","Toronto"
"Kim Elaine Bordeleau","Aircraft Maintenance Engineer/Entretien d'avion","Parry Sound--Muskoka","35082","Ontario","Parry Sound"
"Patricia Anne Ranney","Project Manager/Gestionnaire de projet","Perth--Wellington","35083","Ontario","Stratford"
"Rodney Manley","Consultant","Peterborough--Kawartha","35084","Ontario","Warsaw"
"Joseph Birungi","Data Manager/Gestionnaire de données","Pickering--Uxbridge","35085","Ontario","Pickering"
"Robert Rantz","Retired/Retraité","Renfrew--Nipissing--Pembroke","35086","Ontario","Petawawa"
"Sharon Louise Rossi","Potter/Potière","Richmond Hill","35087","Ontario","Richmond Hill"
"Joseph Henriques","Consultant","St. Catharines","35089","Ontario","St. Catharines"
"Paul Rennie","Retired/Retraité","Sarnia--Lambton","35091","Ontario","Sarnia"
"Jeff George Piper","Director of Corporate Services/Directeur des services généraux","Sault Ste. Marie","35092","Ontario","Sault Ste. Marie"
"Diane Granato","Retired/Retraitée","Scarborough Centre/Scarborough-Centre","35094","Ontario","Scarborough"
"Hebe Ong-Lim","Director and Administrator of JLHO Enterprise Inc./Directrice et administratrice de JLHO entreprise Inc.","Scarborough North/Scarborough-Nord","35096","Ontario","Toronto"
"Ismail B. Pirani","Software Developer/Développeur de logiciel","Scarborough Southwest/Scarborough-Sud-Ouest","35098","Ontario","Toronto"
"Chris Sotiropoulos","Portfolio Manager/Gestionnaire de portefeuille","Scarborough--Agincourt","35093","Ontario","Scarborough"
"Chantel Saulter","HR Manager/Responsable des ressources humaines","Scarborough--Guildwood","35095","Ontario","Scarborough"
"Michael Pinto","Retired - Professional Woodturner/Tourneur de bois professionnel retraité","Scarborough--Rouge Park","35097","Ontario","Toronto"
"Ron Walker","Retired Engineer/Ingénieur retraité","Simcoe North/Simcoe-Nord","35100","Ontario","Washago"
"Rebecca Vogel*","Retired /Retraitée","Simcoe--Grey","35099","Ontario","Collingwood"
"Khadijah Suleman","International development consultant/Consultante du développement international","Spadina--Fort York","35101","Ontario","Toronto"
"Kimberley Ann Kubeck","Retired/Retraitée","Stormont--Dundas--South Glengarry","35102","Ontario","Alexandria"
"Rodney Lapointe","Self-employed/Travailleur autonome","Sudbury","35103","Ontario","Sudbury"
"Seymour Barry Stein","Chartered Accountant/Comptable agréé","Thornhill","35104","Ontario","Thornhill"
"Ian Simpson","Retired School Principal/Directeur d'école Retraité","Thunder Bay--Rainy River","35105","Ontario","Fort Frances"
"Dale Jon Mason","Retired/Retraité","Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord","35106","Ontario","Thunder Bay"
"Denise Labelle","Administration","Timmins--James Bay/Timmins--Baie James","35107","Ontario","Timmins"
"Carolyn Ann McGill","Retired/Retraitée","Toronto Centre/Toronto-Centre","35108","Ontario","Toronto"
"Diane Catherine Stevenson","Retired/Retraitée","Toronto--Danforth","35109","Ontario","Toronto"
"Kelly Walters","Bid Coordinator/Coordonnatrice d'appels d'offre","Toronto--St. Paul's","35090","Ontario","Toronto"
"S. Scott Sima","I.T. Consultant/Consultant de la T.I.","University--Rosedale","35110","Ontario","Toronto"
"Ugo Di Federico","Administrator/Administrateur","Vaughan--Woodbridge","35111","Ontario","Woodbridge"
"Nick Arthur Driedger","Retired CEO/DGE retraité","Waterloo","35112","Ontario","Waterloo"
"Thomas H.L. Gallagher","Sales/Ventes","Wellington--Halton Hills","35113","Ontario","Georgetown"
"Paul M. Cloutier","Retired/Retraité","Whitby","35114","Ontario","Whitby"
"May Lynne Fong","Retired/Retraitée","Willowdale","35115","Ontario","Toronto"
"Thomas William Lynd","Consultant","Windsor West/Windsor-Ouest","35117","Ontario","Windsor"
"Mark Moore","Retired/Retraité","Windsor--Tecumseh","35116","Ontario","Belle River"
"Lori Gotlieb","Trainer / Professor/Formateur / Professeur","York Centre/York-Centre","35118","Ontario","Toronto"
"Jacqueline Daley","Professor, College PT/Professeur de collège","York South--Weston/York-Sud--Weston","35120","Ontario","York"
"Nina Willcocks","Financial Manager/Directrice en Finances","York--Simcoe","35119","Ontario","Sutton West"
"Joni Denise Swidnicki","Retired/Retraitée","Brandon--Souris","46001","Manitoba","Brandon"
"Sherri Lorraine Vanderstel","Teacher/Enseignante","Charleswood--St. James--Assiniboia--Headingley","46002","Manitoba","Winnipeg"
"Katherine Lupien","Registered Nurse/Infirmière autorisée","Churchill--Keewatinook Aski","46003","Manitoba","Flin Flon"
"Ron Clement","Commissionnaire","Dauphin--Swan River--Neepawa","46004","Manitoba","Russell-Binscarth"
"Wayne John Laniuk","Business Consulting/Conseil aux entreprises","Elmwood--Transcona","46005","Manitoba","Winnipeg"
"Donna Gail Ghidoni","Educator/Trainer/Éducatrice - Formatrice","Kildonan--St. Paul","46006","Manitoba","East St. Paul"
"Georges Cormier","Retired/Retraité","Portage--Lisgar","46007","Manitoba","La Salle"
"Rebekah Alice Stelmack","Retired/Retraitée","Provencher","46008","Manitoba","Steinbach"
"Tayeb Meridji","Retired/Retraité","Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital","46009","Manitoba","Winnipeg"
"Gayle Halliwell","Retired Educator/Artist/Enseignante retraitée/Artiste","Selkirk--Interlake--Eastman","46010","Manitoba","Sandy Hook"
